Title,Topic,Subtopic,Year of the map,Description,link
EFA type per country DK,EU bilateral relations,EFA types,2017,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/EFA%20type%20per%20country%20DK.jpg
EFA type per country EE,EU bilateral relations,EFA types,2017,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/EFA%20type%20per%20country%20EE.jpg
EFA type per country EL,EU bilateral relations,EFA types,2017,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/EFA%20type%20per%20country%20EL.jpg
EFA type per country EN,EU bilateral relations,EFA types,2017,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/EFA%20type%20per%20country%20EN.jpg
EFA type per country ES,EU bilateral relations,EFA types,2017,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/EFA%20type%20per%20country%20ES.jpg
EFA type per country FI,EU bilateral relations,EFA types,2017,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/EFA%20type%20per%20country%20FI.jpg
EFA type per country FR,EU bilateral relations,EFA types,2017,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/EFA%20type%20per%20country%20FR.jpg
EFA type per country HR,EU bilateral relations,EFA types,2017,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/EFA%20type%20per%20country%20HR.jpg
EFA type per country HU,EU bilateral relations,EFA types,2017,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/EFA%20type%20per%20country%20HU.jpg
EFA type per country IT,EU bilateral relations,EFA types,2017,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/EFA%20type%20per%20country%20IT.jpg
EFA type per country LT,EU bilateral relations,EFA types,2017,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/EFA%20type%20per%20country%20LT.jpg
EFA type per country LV,EU bilateral relations,EFA types,2017,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/EFA%20type%20per%20country%20LV.jpg
EFA type per country MT,EU bilateral relations,EFA types,2017,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/EFA%20type%20per%20country%20MT.jpg
EFA type per country NL,EU bilateral relations,EFA types,2017,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/EFA%20type%20per%20country%20NL.jpg
EFA type per country PL,EU bilateral relations,EFA types,2017,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/EFA%20type%20per%20country%20PL.jpg
EFA type per country PT,EU bilateral relations,EFA types,2017,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/EFA%20type%20per%20country%20PT.jpg
EFA type per country RO,EU bilateral relations,EFA types,2017,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/EFA%20type%20per%20country%20RO.jpg
EFA type per country SE,EU bilateral relations,EFA types,2017,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/EFA%20type%20per%20country%20SE.jpg
EFA type per country SI,EU bilateral relations,EFA types,2017,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/EFA%20type%20per%20country%20SI.jpg
EFA type per country SK,EU bilateral relations,EFA types,2017,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/EFA%20type%20per%20country%20SK.jpg
Albania,EU bilateral relations,By country,2014,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Albania_g.jpg
Algeria,EU bilateral relations,By country,2014,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Algeria_g.jpg
Armenia,EU bilateral relations,By country,2014,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Armenia_g.jpg
Azerbaijan,EU bilateral relations,By country,2014,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Azerbaijan_g.jpg
Belarus,EU bilateral relations,By country,2014,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Belarus_g.jpg
Bosnia and Herzegovina,EU bilateral relations,By country,2014,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Bosnia%20and%20Herzegovina_g.jpg
Egypt,EU bilateral relations,By country,2014,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Egypt_g.jpg
Former Yugoslav Republic of Macedonia,EU bilateral relations,By country,2014,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Former%20Yugoslav%20Republic%20of%20Macedonia_g.jpg
Georgia,EU bilateral relations,By country,2014,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Georgia_g.jpg
Iceland,EU bilateral relations,By country,2014,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Iceland_g.jpg
Jordan,EU bilateral relations,By country,2014,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Jordan_g.jpg
Kosovo,EU bilateral relations,By country,2014,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Kosovo_g.jpg
Lebanon,EU bilateral relations,By country,2014,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Lebanon_g.jpg
Moldova,EU bilateral relations,By country,2014,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Moldova_g.jpg
Montenegro,EU bilateral relations,By country,2014,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Montenegro_g.jpg
Morocco,EU bilateral relations,By country,2014,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Morocco_g.jpg
Norway,EU bilateral relations,By country,2014,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Norway_g.jpg
Russia,EU bilateral relations,By country,2014,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Russia_g.jpg
Serbia,EU bilateral relations,By country,2014,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Serbia_g.jpg
Switzerland,EU bilateral relations,By country,2014,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Switzerland_g.jpg
Tunisia,EU bilateral relations,By country,2014,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Tunisia_g.jpg
Turkey,EU bilateral relations,By country,2014,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Turkey_g.jpg
Ukraine,EU bilateral relations,By country,2014,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Ukraine_g.jpg
FI in preparation and operational May 2018,EU financing,EAFRD Financial Instruments,2018,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/FI%20in%20preparation%20and%20operational%20May%202018%20(1).png
FI in preparation and operational October 2018,EU financing,EAFRD Financial Instruments,2018,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/FI%20in%20preparation%20and%20operational%20October%202018.png
FI in preparation and operational February 2019,EU financing,EAFRD Financial Instruments,2019,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/FI%20in%20preparation%20and%20operational%20February%202019.png
1a beneficiaries receiving EUR 5 000 or less,EU financing,Direct payments report,2016,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/1a%20beneficiaries%20receiving%20EUR%205%20000%20or%20less.jpg
1b beneficiaries receiving EUR 5 000 to 50 000,EU financing,Direct payments report,2016,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/1b%20beneficiaries%20receiving%20EUR%205%20000%20to%2050%20000.jpg
1c beneficiaries receiving EUR 50 000 to 100 000,EU financing,Direct payments report,2016,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/1c%20beneficiaries%20receiving%20EUR%2050%20000%20to%20100%20000.jpg
1d beneficiaries receiving EUR 100 000 or more,EU financing,Direct payments report,2016,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/1d%20beneficiaries%20receiving%20EUR%20100%20000%20or%20more.jpg
2a direct payments distributed among beneficiaries receiving EUR 5 000 or less,EU financing,Direct payments report,2016,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/2a%20direct%20payments%20distributed%20among%20benefiaries%20receiving%20EUR%205%20000%20or%20less.jpg
2b direct payments distributed among beneficiaries receiving EUR 5 000 to EUR 50 000,EU financing,Direct payments report,2016,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/2b%20direct%20payments%20distributed%20among%20benefiaries%20receiving%20EUR%205%20000%20to%20EUR%2050%20000.jpg
2c direct payments distributed among beneficiaries receiving EUR 50 000 to EUR 100 000,EU financing,Direct payments report,2016,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/2c%20direct%20payments%20distributed%20among%20benefiaries%20receiving%20EUR%2050%20000%20to%20EUR%20100%20000.jpg
2d direct payments distributed among beneficiaries receiving EUR 100 000 or more,EU financing,Direct payments report,2016,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/2d%20direct%20payments%20distributed%20among%20benefiaries%20receiving%20EUR%20100%20000%20or%20more.jpg
3a direct payments average amount for financial year 2015,EU financing,Direct payments report,2016,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/3a%20direct%20payments%20average%20amount%20for%20financial%20year%202015.jpg
3b direct payments average amount for financial year 2014,EU financing,Direct payments report,2016,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/3b%20direct%20payments%20average%20amount%20for%20financial%20year%202014.jpg
Percentage of expenditure for DP paid to beneficiaries receiving more than 150000 euro,EU financing,Direct payments report,2016,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Percentage%20of%20expenditure%20for%20DP%20paid%20to%20beneficiaries%20receiving%20more%20than%20150000%20euro.jpg
Loss of FNVA in 2019 compared to the baseline DP cut by 10%,EU financing,CAP simulations,2017,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Loss%20of%20FNVA%20in%202019%20compared%20to%20the%20baseline%20DP%20cut%20by%2010%.jpg
Loss of FNVA in 2019 compared to the baseline DP cut by 30%,EU financing,CAP simulations,2017,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Loss%20of%20FNVA%20in%202019%20compared%20to%20the%20baseline%20DP%20cut%20by%2030%.jpg
Map of Europe and Mediterranean basin,Europe and Mediterranean basin,EU and neighboring countries,2013,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Map%20of%20Europe%20and%20Mediterranean%20basin.gif
Costs of the implementation  of ecological set aside  Option 3,Farm Economics,Greening costs,2011,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/d_Costs%20of%20the%20implementation%20%20of%20ecological%20set%20aside%20%20Option%203.gif
Costs of the implementation  of ecological set aside_Option 1,Farm Economics,Greening costs,2011,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/c_Costs%20of%20the%20implementation%20%20of%20ecological%20set%20aside_Option%201.gif
Costs of the implementation of crop diversification  Option 2,Farm Economics,Greening costs,2011,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/f_Costs%20of%20the%20implementation%20of%20%20crop%20diversification%20%20Option%202.gif
Costs of the implementation of crop diversification Option 1,Farm Economics,Greening costs,2011,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/e_Costs%20of%20the%20implementation%20of%20%20crop%20diversification%20Option%201.gif
Costs of the implementation of green cover,Farm Economics,Greening costs,2011,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/a_Costs%20of%20the%20implementation%20%20of%20green%20cover.gif
Costs of the preservation of permanent grassland,Farm Economics,Greening costs,2011,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/b_Costs%20of%20the%20preservation%20of%20permanent%20grassland.gif
Total costs of the  implementation of the greening measures Option 2,Farm Economics,Greening costs,2011,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/h_Total%20costs%20of%20the%20%20implementation%20of%20the%20greening%20measures%20Option%202.gif
Total costs of the  implementation of the greening measures Option 3,Farm Economics,Greening costs,2011,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/i_Total%20costs%20of%20the%20%20implementation%20of%20the%20greening%20measures%20Option%203.gif
Total costs of the  implementation of the greening measures_Option 1,Farm Economics,Greening costs,2011,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/g_Total%20costs%20of%20the%20%20implementation%20of%20the%20greening%20measures_Option%201.gif
Cost of the crop diversification,Farm Economics,Greening costs,2012,Farm Accountancy Data Network (FADN),https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Greening%20cost%20-%20Cost%20of%20the%20crop%20diversification.gif
Cost of the ecological focus area,Farm Economics,Greening costs,2012,Farm Accountancy Data Network (FADN),https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Greening%20cost%20-%20Cost%20of%20the%20ecological%20focus%20area.gif
Cost of the preservation of permanent grassland,Farm Economics,Greening costs,2012,Farm Accountancy Data Network (FADN),https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Greening%20cost%20-%20Cost%20of%20the%20preservation%20of%20permanent%20grassland.gif
Total cost of greening,Farm Economics,Greening costs,2012,Farm Accountancy Data Network (FADN),https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Greening%20cost%20-%20Total%20cost%20of%20greening.gif
ART 14. Knowledge transfer and information actions,Farm Economics,Forest Measure,2016,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/ART%2014.%20Knowledge%20transfer%20and%20information%20actions.jpg
"ART 15 Advisory services, farm management and farm relief services Measure Code 2",Farm Economics,Forest Measure,2016,,"https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/ART%2015%20Advisory%20services,%20farm%20management%20and%20farm%20relief%20services%20Measure%20Code%202.jpg"
"ART 17c Investments in physical assets, investments in infrastructure, Measure code 43",Farm Economics,Forest Measure,2016,,"https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/ART%2017c%20Investments%20in%20physical%20assets,%20investments%20in%20infrastructure,%20Measure%20code%2043.jpg"
ART 19 Farm and business development Measure code 6,Farm Economics,Forest Measure,2016,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/ART%2019%20Farm%20and%20business%20development%20Measure%20code%206.jpg
ART 20 Basic services and village renewal in rural areas Measure code 7,Farm Economics,Forest Measure,2016,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/ART%2020%20Basic%20services%20and%20village%20renewal%20in%20rural%20areas%20Measure%20code%207.jpg
ART 22 Afforestation and creation of woodland Measure code 8.1,Farm Economics,Forest Measure,2016,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/ART%2022%20Afforestation%20and%20creation%20of%20woodland%20Measure%20code%208.1.jpg
ART 23 Establishment of agroforestry systems Measure code 8.2,Farm Economics,Forest Measure,2016,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/ART%2023%20Establishment%20of%20agroforestry%20systems%20Measure%20code%208.2.jpg
Art 24 Prevention and restoration of damage to forests from forest fires and natural and catastrophic events,Farm Economics,Forest Measure,2016,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Art%2024%20Prevention%20and%20restoration%20of%20damage%20to%20forests%20from%20forest%20fires%20and%20natural%20and%20catastrophic%20events.jpg
Art 25 Investments improving the resilience and environmental value of forest ecosystems,Farm Economics,Forest Measure,2016,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Art%2025%20Investments%20improving%20the%20resilience%20and%20environmental%20value%20of%20forest%20ecosystems.jpg
"Art 26 Investments in forestry technologies and in processing, in mobilising and in the marketing of forest products Measure code 8.6",Farm Economics,Forest Measure,2016,,"https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Art%2026%20Investments%20in%20forestry%20technologies%20and%20in%20processing,%20in%20mobilising%20and%20in%20the%20marketing%20of%20forest%20products%20Measure%20code%208.6.jpg"
Art 27 Setting -up of producer groups and organisations - forestry Measure code 9,Farm Economics,Forest Measure,2016,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Art%2027%20Setting%20-up%20of%20producer%20groups%20and%20organisations%20-%20forestry%20Measure%20code%209.jpg
Art 30 Natura2000 and Water Framewirj Directive payments; forestry Measure code 12,Farm Economics,Forest Measure,2016,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Art%2030%20Natura2000%20and%20Water%20Framewirj%20Directive%20payments;%20forestry%20Measure%20code%2012.jpg
Art 34 forest -environmental and climate services and forest conservation Measure code 15,Farm Economics,Forest Measure,2016,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Art%2034%20forest%20-environmental%20and%20climate%20services%20and%20forest%20conservation%20Measure%20code%2015.jpg
Art 35 Co-operation Measure code 16,Farm Economics,Forest Measure,2016,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/Art%2035%20Co-operation%20Measure%20code%2016.jpg
Income labour input AUSTRIA,Farm Economics,FADN Income per labour,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/income_labour_input_AUSTRIA%20(1).jpg
Income labour input BELGIUM,Farm Economics,FADN Income per labour,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/income_labour_input_BELGIUM_ver2_graph%20(1).jpg
Income labour input BULGARIA,Farm Economics,FADN Income per labour,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/income_labour_input_BULGARIA_graph%20(1).jpg
Income labour input CZECH,Farm Economics,FADN Income per labour,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/income_labour_input_CZECH_graph%20(1).jpg
Income labour input DENMARK,Farm Economics,FADN Income per labour,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/income_labour_input_DENMARK_graph%20(1).jpg
Income labour input ESTONIA,Farm Economics,FADN Income per labour,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/income_labour_input_ESTONIA_graph%20(1).jpg
Income labour input FINLAND,Farm Economics,FADN Income per labour,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/income_labour_input_FINLAND_graph%20(1).jpg
Income labour input FRANCE,Farm Economics,FADN Income per labour,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/income_labour_input_FRANCE_graph%20(1).jpg
Income labour input GERMANY,Farm Economics,FADN Income per labour,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/income_labour_input_GERMANY_graph%20(1).jpg
Income labour input GREECE,Farm Economics,FADN Income per labour,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/income_labour_input_GREECE_graph.jpg
Income labour input HUNGARY,Farm Economics,FADN Income per labour,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/income_labour_input_HUNGARY_2_graph%20(1).jpg
Income labour input IRELAND,Farm Economics,FADN Income per labour,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/income_labour_input_IRELAND_graph%20(1).jpg
Income labour input ITALY,Farm Economics,FADN Income per labour,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/income_labour_input_ITALY_graph%20(1).jpg
Income labour input LITHUANIA,Farm Economics,FADN Income per labour,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/income_labour_input_LITHUANIA_graph%20(1).jpg
Income labour input LUXEMBOURG,Farm Economics,FADN Income per labour,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/income_labour_input_LUXEMBOURG_graph%20(1).jpg
Income labour input MALTA,Farm Economics,FADN Income per labour,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/income_labour_input_MALTA_graph%20(1).jpg
Income labour input NETHERLANDS,Farm Economics,FADN Income per labour,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/income_labour_input_NETHERLANDS_graph%20(1).jpg
Income labour input POLAND,Farm Economics,FADN Income per labour,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/income_labour_input_POLAND_ver2_graph.jpg
Income labour input PORTUGAL,Farm Economics,FADN Income per labour,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/income_labour_input_PORTUGAL_insets_graph%20(1).jpg
Income labour input ROMANIA,Farm Economics,FADN Income per labour,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/income_labour_input_ROMANIA_graph%20(1).jpg
Income labour input SLOVAKIA,Farm Economics,FADN Income per labour,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/income_labour_input_SLOVAKIA_graph%20(1).jpg
Income labour input SLOVENIA,Farm Economics,FADN Income per labour,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/income_labour_input_SLOVENIA_graph%20(1).jpg
Income labour input SPAIN,Farm Economics,FADN Income per labour,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/income_labour_input_SPAIN_insest_graph.jpg
Income labour input SPAIN,Farm Economics,FADN Income per labour,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/income_labour_input_SPAIN_insets_graph%20(1).jpg
Income labour input SWEDEN,Farm Economics,FADN Income per labour,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/income_labour_input_SWEDEN_graph%20(1).jpg
Income labour input UNITED KINGDOM,Farm Economics,FADN Income per labour,2015,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/income_labour_input_UNITED%20KINGDOM_graph%20(1).jpg
Income labour input CROATIA,Farm Economics,FADN Income per labour,2016,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/income_labour_input_CROATIA_graph.jpg
Income labour input CYPRUS,Farm Economics,FADN Income per labour,2016,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/income_labour_input_CYPRUS_graph%20(1).jpg
Income labour input LATVIA,Farm Economics,FADN Income per labour,2016,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/income_labour_input_LATVIA_graph%20(1).jpg
AT Income per labour 2014 SE425,Farm Economics,FADN Income per labour,2017,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/AT%20Income%20per%20labour%202014%20SE425.jpg
AT Income per labour 2015 SE425,Farm Economics,FADN Income per labour,2017,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/AT%20Income%20per%20labour%202015%20SE425%20(1).jpg
BE Income per labour 2014 SE425,Farm Economics,FADN Income per labour,2017,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/BE%20Income%20per%20labour%202014%20SE425.jpg
BE Income per labour 2015 SE425,Farm Economics,FADN Income per labour,2017,,https://eceuropaeu.sharepoint.com/sites/KNB-AGRI-GIS-Map-Catalogue/GISMC_all%20maps/BE%20Income%20per%20labour%202015%20SE425%20(1).jpg
